UKDataID,BoE data,BoE data,BoE data,BoE data,BoE data,BoE data,BoE data,BoE data,BoE data
1976,0.053969466,56216100,6.93217E+11,0.02509946,0.503619043,0.60323388,0.37166666,767.9631373,1246.443219
1977,0.055938202,56189900,7.10527E+11,0.02387069,0.46805992,0.60260552,0.37352380,791.4416175,1276.83187
1978,0.055052476,56178000,7.36183E+11,0.02261591,0.44303014,0.60250701,0.37487707,823.1645807,1323.000173
1979,0.053779998,56240100,7.61303E+11,0.02135259,0.438793914,0.60282240,0.37582501,852.4627611,1367.348193
1980,0.068093168,56329700,7.46269E+11,0.02009478,0.476052838,0.60313572,0.37676951,836.3960884,1338.909716
1981,0.096490255,56357500,7.40824E+11,0.01918846,0.479873165,0.61186628,0.36894526,812.6499959,1347.715204
1982,0.107172146,56290666,7.56518E+11,0.01830368,0.471572945,0.62021648,0.36147984,814.0390531,1396.704274
1983,0.114722967,56315717,7.87485E+11,0.01744903,0.448403336,0.62812906,0.35442191,830.4462241,1471.769646
1984,0.117743225,56409310,8.02671E+11,0.01667347,0.433455699,0.63449551,0.34883102,831.7257794,1512.84217
1985,0.1135782,56554003,8.38515E+11,0.01595147,0.41690275,0.63981802,0.34423051,855.2146343,1589.579437
1986,0.113237297,56683834,8.6217E+11,0.01631074,0.431541753,0.64632362,0.33736564,859.8304472,1647.259415
1987,0.104333014,56804004,9.07589E+11,0.01668952,0.393818765,0.65268957,0.33062091,885.1540685,1747.411663
1988,0.085744345,56916408,9.59298E+11,0.01709126,0.372049103,0.65900039,0.32390834,914.7796068,1861.144148
1989,0.072213936,57076416,9.84669E+11,0.01753689,0.339159968,0.66486553,0.31759758,918.0979839,1921.965866
1990,0.070979118,57237498,9.93064E+11,0.01680870,0.327096173,0.67829873,0.30489256,886.3835962,1971.949939
1991,0.088177889,57438663,9.86263E+11,0.01596087,0.324600796,0.69735563,0.28668177,824.8344319,2006.416152
1992,0.09949933,57584567,9.91299E+11,0.01626902,0.348582579,0.70723187,0.27650408,797.5876006,2040.039942
1993,0.103747521,57713937,1.01741E+12,0.01675569,0.342258916,0.71289282,0.27035307,798.5895324,2105.79719
1994,0.094960965,57862138,1.05384E+12,0.01636925,0.322313463,0.70884807,0.27478269,838.5896555,2163.282774
1995,0.086217881,58024768,1.07672E+12,0.01714273,0.337570787,0.70593013,0.27692145,861.0378295,2194.963749
1996,0.080970518,58164423,1.10205E+12,0.01574843,0.32296491,0.70929739,0.27496217,872.9623242,2251.909413
1997,0.069720137,58314288,1.13391E+12,0.01136819,0.323079046,0.71911238,0.26981540,879.1232659,2343.040557
1998,0.062554665,58474974,1.17183E+12,0.01393646,0.273365577,0.73020744,0.25974083,872.1954752,2451.996535
1999,0.059768126,58684421,1.2119E+12,0.01168957,0.341558876,0.74186411,0.24870983,860.6267566,2567.120465
2000,0.054590485,58886021,1.25794E+12,0.01424973,0.319265606,0.73787985,0.25343317,907.1694716,2641.256718
2001,0.050991404,59112978,1.28885E+12,0.01221144,0.299995176,0.75212720,0.23959951,875.3554137,2747.829535
2002,0.05187799,59365643,1.31616E+12,0.01515758,0.285193934,0.75595317,0.23601633,876.7844959,2808.314192
2003,0.050117805,59636638,1.36281E+12,0.01295966,0.270034764,0.76532097,0.22621615,866.2085205,2930.504974
2004,0.047539561,59950322,1.39454E+12,0.01349208,0.262284524,0.77353930,0.21789724,849.3144903,3015.082394
2005,0.048294517,60413243,1.44051E+12,0.01147675,0.240919265,0.77334620,0.22027767,880.1029859,3089.846947
2006,0.054237398,60827054,1.47633E+12,0.01120741,0.262317702,0.77328845,0.22051451,896.8110455,3144.888801
2007,0.053330326,61319092,1.51372E+12,0.00951734,0.241041858,0.77829828,0.21541749,891.0626024,3219.388034
2008,0.056853632,61823820,1.50741E+12,0.00373593,0.35740023,0.78158796,0.21144015,863.8530322,3193.230412
2009,0.076143097,62260453,1.43846E+12,0.00837841,0.393174976,0.79457167,0.19939677,771.9354978,3076.068236
2010,0.078707644,62759423,1.46712E+12,0.00777998,0.339252239,0.79157026,0.20112609,787.8337169,3100.670614
2011,0.081109825,63285127,1.48871E+12,0.00743604,0.302964638,0.79014445,0.20306665,800.4325566,3114.530886
2012,0.07970745,63704996,1.50542E+12,0.00681324,0.373761973,0.79186213,0.20146953,797.7576697,3135.531592
2013,0.07608094,64105629,1.52796E+12,0.00547577,0.394454337,0.78782807,0.20502232,818.8323032,3146.482107
2014,0.061800323,64596754,1.5802E+12,0.00492204,0.35925102,0.79173798,0.20149100,825.9138588,3245.342778
2015,0.053844061,65110000,1.61873E+12,0.00541395,0.320832027,0.79814904,0.19365358,806.7318119,3324.969452
2016,0.048958801,65573000,1.64868E+12,,,,,,
